dataset,minsup,algorithm,run_type,run_id,campaign_id,expected_output_equivalent_group,log_path
Kosarak,0.2%,CloFast,measured,1,20260119_105918,Kosarak_0.002_group,logs/CloFast_Kosarak_0.002_run1_20260119_105918.log
Kosarak,0.1%,CloFast,warmup,1,20260119_105918,Kosarak_0.001_group,logs/CloFast_Kosarak_0.001_runwarmup1_20260119_105918.log
Kosarak,0.1%,CloFast,measured,1,20260119_105918,Kosarak_0.001_group,logs/CloFast_Kosarak_0.001_run1_20260119_105918.log
FIFA,5%,CloFast,warmup,1,20260119_105918,FIFA_0.05_group,logs/CloFast_FIFA_0.05_runwarmup1_20260119_105918.log
FIFA,5%,CloFast,measured,1,20260119_105918,FIFA_0.05_group,logs/CloFast_FIFA_0.05_run1_20260119_105918.log
FIFA,20%,CloFast,warmup,1,20260119_105918,FIFA_0.2_group,logs/CloFast_FIFA_0.2_runwarmup1_20260119_105918.log
FIFA,20%,CloFast,measured,3,20260119_105918,FIFA_0.2_group,logs/CloFast_FIFA_0.2_run3_20260119_105918.log
FIFA,20%,CloFast,measured,2,20260119_105918,FIFA_0.2_group,logs/CloFast_FIFA_0.2_run2_20260119_105918.log
FIFA,20%,CloFast,measured,1,20260119_105918,FIFA_0.2_group,logs/CloFast_FIFA_0.2_run1_20260119_105918.log
FIFA,2%,CloFast,warmup,1,20260119_105918,FIFA_0.02_group,logs/CloFast_FIFA_0.02_runwarmup1_20260119_105918.log
FIFA,2%,CloFast,measured,1,20260119_105918,FIFA_0.02_group,logs/CloFast_FIFA_0.02_run1_20260119_105918.log
FIFA,10%,CloFast,warmup,1,20260119_105918,FIFA_0.1_group,logs/CloFast_FIFA_0.1_runwarmup1_20260119_105918.log
FIFA,10%,CloFast,measured,3,20260119_105918,FIFA_0.1_group,logs/CloFast_FIFA_0.1_run3_20260119_105918.log
FIFA,10%,CloFast,measured,2,20260119_105918,FIFA_0.1_group,logs/CloFast_FIFA_0.1_run2_20260119_105918.log
FIFA,10%,CloFast,measured,1,20260119_105918,FIFA_0.1_group,logs/CloFast_FIFA_0.1_run1_20260119_105918.log
FIFA,1%,CloFast,warmup,1,20260119_105918,FIFA_0.01_group,logs/CloFast_FIFA_0.01_runwarmup1_20260119_105918.log
FIFA,1%,CloFast,measured,1,20260119_105918,FIFA_0.01_group,logs/CloFast_FIFA_0.01_run1_20260119_105918.log
FIFA,0.5%,CloFast,warmup,1,20260119_105918,FIFA_0.005_group,logs/CloFast_FIFA_0.005_runwarmup1_20260119_105918.log
FIFA,0.5%,CloFast,measured,1,20260119_105918,FIFA_0.005_group,logs/CloFast_FIFA_0.005_run1_20260119_105918.log
BMS2,5%,CloFast,warmup,1,20260119_105918,BMS2_0.05_group,logs/CloFast_BMS2_0.05_runwarmup1_20260119_105918.log
BMS2,5%,CloFast,measured,3,20260119_105918,BMS2_0.05_group,logs/CloFast_BMS2_0.05_run3_20260119_105918.log
BMS2,5%,CloFast,measured,2,20260119_105918,BMS2_0.05_group,logs/CloFast_BMS2_0.05_run2_20260119_105918.log
BMS2,5%,CloFast,measured,1,20260119_105918,BMS2_0.05_group,logs/CloFast_BMS2_0.05_run1_20260119_105918.log
BMS2,20%,CloFast,warmup,1,20260119_105918,BMS2_0.2_group,logs/CloFast_BMS2_0.2_runwarmup1_20260119_105918.log
BMS2,20%,CloFast,measured,3,20260119_105918,BMS2_0.2_group,logs/CloFast_BMS2_0.2_run3_20260119_105918.log
BMS2,20%,CloFast,measured,2,20260119_105918,BMS2_0.2_group,logs/CloFast_BMS2_0.2_run2_20260119_105918.log
BMS2,20%,CloFast,measured,1,20260119_105918,BMS2_0.2_group,logs/CloFast_BMS2_0.2_run1_20260119_105918.log
BMS2,2%,CloFast,warmup,1,20260119_105918,BMS2_0.02_group,logs/CloFast_BMS2_0.02_runwarmup1_20260119_105918.log
BMS2,2%,CloFast,measured,3,20260119_105918,BMS2_0.02_group,logs/CloFast_BMS2_0.02_run3_20260119_105918.log
BMS2,2%,CloFast,measured,2,20260119_105918,BMS2_0.02_group,logs/CloFast_BMS2_0.02_run2_20260119_105918.log
BMS2,2%,CloFast,measured,1,20260119_105918,BMS2_0.02_group,logs/CloFast_BMS2_0.02_run1_20260119_105918.log
BMS2,10%,CloFast,warmup,1,20260119_105918,BMS2_0.1_group,logs/CloFast_BMS2_0.1_runwarmup1_20260119_105918.log
BMS2,10%,CloFast,measured,3,20260119_105918,BMS2_0.1_group,logs/CloFast_BMS2_0.1_run3_20260119_105918.log
BMS2,10%,CloFast,measured,2,20260119_105918,BMS2_0.1_group,logs/CloFast_BMS2_0.1_run2_20260119_105918.log
BMS2,10%,CloFast,measured,1,20260119_105918,BMS2_0.1_group,logs/CloFast_BMS2_0.1_run1_20260119_105918.log
BMS2,1%,CloFast,warmup,1,20260119_105918,BMS2_0.01_group,logs/CloFast_BMS2_0.01_runwarmup1_20260119_105918.log
BMS2,1%,CloFast,measured,3,20260119_105918,BMS2_0.01_group,logs/CloFast_BMS2_0.01_run3_20260119_105918.log
BMS2,1%,CloFast,measured,2,20260119_105918,BMS2_0.01_group,logs/CloFast_BMS2_0.01_run2_20260119_105918.log
BMS2,1%,CloFast,measured,1,20260119_105918,BMS2_0.01_group,logs/CloFast_BMS2_0.01_run1_20260119_105918.log
BMS2,0.5%,CloFast,warmup,1,20260119_105918,BMS2_0.005_group,logs/CloFast_BMS2_0.005_runwarmup1_20260119_105918.log
BMS2,0.5%,CloFast,measured,3,20260119_105918,BMS2_0.005_group,logs/CloFast_BMS2_0.005_run3_20260119_105918.log
BMS2,0.5%,CloFast,measured,2,20260119_105918,BMS2_0.005_group,logs/CloFast_BMS2_0.005_run2_20260119_105918.log
BMS2,0.5%,CloFast,measured,1,20260119_105918,BMS2_0.005_group,logs/CloFast_BMS2_0.005_run1_20260119_105918.log
BMS2,0.1%,CloFast,warmup,1,20260119_105918,BMS2_0.001_group,logs/CloFast_BMS2_0.001_runwarmup1_20260119_105918.log
BMS2,0.1%,CloFast,measured,3,20260119_105918,BMS2_0.001_group,logs/CloFast_BMS2_0.001_run3_20260119_105918.log
BMS2,0.1%,CloFast,measured,2,20260119_105918,BMS2_0.001_group,logs/CloFast_BMS2_0.001_run2_20260119_105918.log
BMS2,0.1%,CloFast,measured,1,20260119_105918,BMS2_0.001_group,logs/CloFast_BMS2_0.001_run1_20260119_105918.log
BMS2,0.05%,CloFast,warmup,1,20260119_105918,BMS2_0.0005_group,logs/CloFast_BMS2_0.0005_runwarmup1_20260119_105918.log
BMS2,0.05%,CloFast,measured,1,20260119_105918,BMS2_0.0005_group,logs/CloFast_BMS2_0.0005_run1_20260119_105918.log
BMS2,0.01%,CloFast,warmup,1,20260119_105918,BMS2_0.0001_group,logs/CloFast_BMS2_0.0001_runwarmup1_20260119_105918.log
BMS2,0.01%,CloFast,measured,1,20260119_105918,BMS2_0.0001_group,logs/CloFast_BMS2_0.0001_run1_20260119_105918.log
BMS2,0.005%,CloFast,warmup,1,20260119_105918,BMS2_0.00005_group,logs/CloFast_BMS2_0.00005_runwarmup1_20260119_105918.log
BMS2,0.005%,CloFast,measured,1,20260119_105918,BMS2_0.00005_group,logs/CloFast_BMS2_0.00005_run1_20260119_105918.log
BMS2,0.001%,CloFast,warmup,1,20260119_105918,BMS2_0.00001_group,logs/CloFast_BMS2_0.00001_runwarmup1_20260119_105918.log
BMS2,0.001%,CloFast,measured,1,20260119_105918,BMS2_0.00001_group,logs/CloFast_BMS2_0.00001_run1_20260119_105918.log
BMS2,0.0005%,CloFast,warmup,1,20260119_105918,BMS2_0.000005_group,logs/CloFast_BMS2_0.000005_runwarmup1_20260119_105918.log
BMS2,0.0005%,CloFast,measured,1,20260119_105918,BMS2_0.000005_group,logs/CloFast_BMS2_0.000005_run1_20260119_105918.log
SIGN,5%,CloFast,warmup,1,20260118_211632,SIGN_0.05_group,logs/CloFast_SIGN_0.05_runwarmup1_20260118_211632.log
SIGN,5%,CloFast,measured,3,20260118_211632,SIGN_0.05_group,logs/CloFast_SIGN_0.05_run3_20260118_211632.log
SIGN,5%,CloFast,measured,2,20260118_211632,SIGN_0.05_group,logs/CloFast_SIGN_0.05_run2_20260118_211632.log
SIGN,5%,CloFast,measured,1,20260118_211632,SIGN_0.05_group,logs/CloFast_SIGN_0.05_run1_20260118_211632.log
SIGN,20%,CloFast,warmup,1,20260118_211632,SIGN_0.2_group,logs/CloFast_SIGN_0.2_runwarmup1_20260118_211632.log
SIGN,20%,CloFast,measured,3,20260118_211632,SIGN_0.2_group,logs/CloFast_SIGN_0.2_run3_20260118_211632.log
SIGN,20%,CloFast,measured,2,20260118_211632,SIGN_0.2_group,logs/CloFast_SIGN_0.2_run2_20260118_211632.log
SIGN,20%,CloFast,measured,1,20260118_211632,SIGN_0.2_group,logs/CloFast_SIGN_0.2_run1_20260118_211632.log
SIGN,2%,CloFast,warmup,1,20260118_211632,SIGN_0.02_group,logs/CloFast_SIGN_0.02_runwarmup1_20260118_211632.log
SIGN,2%,CloFast,measured,1,20260118_211632,SIGN_0.02_group,logs/CloFast_SIGN_0.02_run1_20260118_211632.log
SIGN,10%,CloFast,warmup,1,20260118_211632,SIGN_0.1_group,logs/CloFast_SIGN_0.1_runwarmup1_20260118_211632.log
SIGN,10%,CloFast,measured,3,20260118_211632,SIGN_0.1_group,logs/CloFast_SIGN_0.1_run3_20260118_211632.log
SIGN,10%,CloFast,measured,2,20260118_211632,SIGN_0.1_group,logs/CloFast_SIGN_0.1_run2_20260118_211632.log
SIGN,10%,CloFast,measured,1,20260118_211632,SIGN_0.1_group,logs/CloFast_SIGN_0.1_run1_20260118_211632.log
SIGN,1%,CloFast,warmup,1,20260118_211632,SIGN_0.01_group,logs/CloFast_SIGN_0.01_runwarmup1_20260118_211632.log
SIGN,1%,CloFast,measured,1,20260118_211632,SIGN_0.01_group,logs/CloFast_SIGN_0.01_run1_20260118_211632.log
MSNBC_small,5%,CloFast,warmup,1,20260118_211632,MSNBC_small_0.05_group,logs/CloFast_MSNBC_small_0.05_runwarmup1_20260118_211632.log
MSNBC_small,5%,CloFast,measured,1,20260118_211632,MSNBC_small_0.05_group,logs/CloFast_MSNBC_small_0.05_run1_20260118_211632.log
MSNBC_small,2%,CloFast,warmup,1,20260118_211632,MSNBC_small_0.02_group,logs/CloFast_MSNBC_small_0.02_runwarmup1_20260118_211632.log
MSNBC_small,2%,CloFast,measured,1,20260118_211632,MSNBC_small_0.02_group,logs/CloFast_MSNBC_small_0.02_run1_20260118_211632.log
MSNBC_small,1%,CloFast,warmup,1,20260118_211632,MSNBC_small_0.01_group,logs/CloFast_MSNBC_small_0.01_runwarmup1_20260118_211632.log
MSNBC_small,1%,CloFast,measured,1,20260118_211632,MSNBC_small_0.01_group,logs/CloFast_MSNBC_small_0.01_run1_20260118_211632.log
MSNBC_small,0.5%,CloFast,warmup,1,20260118_211632,MSNBC_small_0.005_group,logs/CloFast_MSNBC_small_0.005_runwarmup1_20260118_211632.log
MSNBC_small,0.5%,CloFast,measured,1,20260118_211632,MSNBC_small_0.005_group,logs/CloFast_MSNBC_small_0.005_run1_20260118_211632.log
MSNBC_small,0.2%,CloFast,warmup,1,20260118_211632,MSNBC_small_0.002_group,logs/CloFast_MSNBC_small_0.002_runwarmup1_20260118_211632.log
MSNBC_small,0.2%,CloFast,measured,1,20260118_211632,MSNBC_small_0.002_group,logs/CloFast_MSNBC_small_0.002_run1_20260118_211632.log
MSNBC_small,0.05%,CloFast,warmup,1,20260118_211632,MSNBC_small_0.0005_group,logs/CloFast_MSNBC_small_0.0005_runwarmup1_20260118_211632.log
MSNBC_small,0.05%,CloFast,measured,1,20260118_211632,MSNBC_small_0.0005_group,logs/CloFast_MSNBC_small_0.0005_run1_20260118_211632.log
MSNBC,5%,CloFast,warmup,1,20260118_211632,MSNBC_0.05_group,logs/CloFast_MSNBC_0.05_runwarmup1_20260118_211632.log
MSNBC,5%,CloFast,measured,2,20260118_211632,MSNBC_0.05_group,logs/CloFast_MSNBC_0.05_run2_20260118_211632.log
MSNBC,5%,CloFast,measured,1,20260118_211632,MSNBC_0.05_group,logs/CloFast_MSNBC_0.05_run1_20260118_211632.log
MSNBC,2%,CloFast,warmup,1,20260118_211632,MSNBC_0.02_group,logs/CloFast_MSNBC_0.02_runwarmup1_20260118_211632.log
MSNBC,2%,CloFast,measured,1,20260118_211632,MSNBC_0.02_group,logs/CloFast_MSNBC_0.02_run1_20260118_211632.log
MSNBC,1%,CloFast,warmup,1,20260118_211632,MSNBC_0.01_group,logs/CloFast_MSNBC_0.01_runwarmup1_20260118_211632.log
MSNBC,1%,CloFast,measured,1,20260118_211632,MSNBC_0.01_group,logs/CloFast_MSNBC_0.01_run1_20260118_211632.log
MSNBC,0.5%,CloFast,warmup,1,20260118_211632,MSNBC_0.005_group,logs/CloFast_MSNBC_0.005_runwarmup1_20260118_211632.log
MSNBC,0.5%,CloFast,measured,1,20260118_211632,MSNBC_0.005_group,logs/CloFast_MSNBC_0.005_run1_20260118_211632.log
MSNBC,0.2%,CloFast,warmup,1,20260118_211632,MSNBC_0.002_group,logs/CloFast_MSNBC_0.002_runwarmup1_20260118_211632.log
MSNBC,0.2%,CloFast,measured,1,20260118_211632,MSNBC_0.002_group,logs/CloFast_MSNBC_0.002_run1_20260118_211632.log
MSNBC,0.1%,CloFast,warmup,1,20260118_211632,MSNBC_0.001_group,logs/CloFast_MSNBC_0.001_runwarmup1_20260118_211632.log
MSNBC,0.1%,CloFast,measured,1,20260118_211632,MSNBC_0.001_group,logs/CloFast_MSNBC_0.001_run1_20260118_211632.log
MSNBC,0.05%,CloFast,warmup,1,20260118_211632,MSNBC_0.0005_group,logs/CloFast_MSNBC_0.0005_runwarmup1_20260118_211632.log
MSNBC,0.05%,CloFast,measured,1,20260118_211632,MSNBC_0.0005_group,logs/CloFast_MSNBC_0.0005_run1_20260118_211632.log
BIKE,5%,CloFast,warmup,1,20260118_211632,BIKE_0.05_group,logs/CloFast_BIKE_0.05_runwarmup1_20260118_211632.log
BIKE,5%,CloFast,measured,3,20260118_211632,BIKE_0.05_group,logs/CloFast_BIKE_0.05_run3_20260118_211632.log
BIKE,5%,CloFast,measured,2,20260118_211632,BIKE_0.05_group,logs/CloFast_BIKE_0.05_run2_20260118_211632.log
BIKE,5%,CloFast,measured,1,20260118_211632,BIKE_0.05_group,logs/CloFast_BIKE_0.05_run1_20260118_211632.log
BIKE,20%,CloFast,warmup,1,20260118_211632,BIKE_0.2_group,logs/CloFast_BIKE_0.2_runwarmup1_20260118_211632.log
BIKE,20%,CloFast,measured,3,20260118_211632,BIKE_0.2_group,logs/CloFast_BIKE_0.2_run3_20260118_211632.log
BIKE,20%,CloFast,measured,2,20260118_211632,BIKE_0.2_group,logs/CloFast_BIKE_0.2_run2_20260118_211632.log
BIKE,20%,CloFast,measured,1,20260118_211632,BIKE_0.2_group,logs/CloFast_BIKE_0.2_run1_20260118_211632.log
BIKE,2%,CloFast,warmup,1,20260118_211632,BIKE_0.02_group,logs/CloFast_BIKE_0.02_runwarmup1_20260118_211632.log
BIKE,2%,CloFast,measured,3,20260118_211632,BIKE_0.02_group,logs/CloFast_BIKE_0.02_run3_20260118_211632.log
BIKE,2%,CloFast,measured,2,20260118_211632,BIKE_0.02_group,logs/CloFast_BIKE_0.02_run2_20260118_211632.log
BIKE,2%,CloFast,measured,1,20260118_211632,BIKE_0.02_group,logs/CloFast_BIKE_0.02_run1_20260118_211632.log
BIKE,10%,CloFast,warmup,1,20260118_211632,BIKE_0.1_group,logs/CloFast_BIKE_0.1_runwarmup1_20260118_211632.log
BIKE,10%,CloFast,measured,3,20260118_211632,BIKE_0.1_group,logs/CloFast_BIKE_0.1_run3_20260118_211632.log
BIKE,10%,CloFast,measured,2,20260118_211632,BIKE_0.1_group,logs/CloFast_BIKE_0.1_run2_20260118_211632.log
BIKE,10%,CloFast,measured,1,20260118_211632,BIKE_0.1_group,logs/CloFast_BIKE_0.1_run1_20260118_211632.log
BIKE,1%,CloFast,warmup,1,20260118_211632,BIKE_0.01_group,logs/CloFast_BIKE_0.01_runwarmup1_20260118_211632.log
BIKE,1%,CloFast,measured,3,20260118_211632,BIKE_0.01_group,logs/CloFast_BIKE_0.01_run3_20260118_211632.log
BIKE,1%,CloFast,measured,2,20260118_211632,BIKE_0.01_group,logs/CloFast_BIKE_0.01_run2_20260118_211632.log
BIKE,1%,CloFast,measured,1,20260118_211632,BIKE_0.01_group,logs/CloFast_BIKE_0.01_run1_20260118_211632.log
BIKE,0.5%,CloFast,warmup,1,20260118_211632,BIKE_0.005_group,logs/CloFast_BIKE_0.005_runwarmup1_20260118_211632.log
BIKE,0.5%,CloFast,measured,3,20260118_211632,BIKE_0.005_group,logs/CloFast_BIKE_0.005_run3_20260118_211632.log
BIKE,0.5%,CloFast,measured,2,20260118_211632,BIKE_0.005_group,logs/CloFast_BIKE_0.005_run2_20260118_211632.log
BIKE,0.5%,CloFast,measured,1,20260118_211632,BIKE_0.005_group,logs/CloFast_BIKE_0.005_run1_20260118_211632.log
BIKE,0.2%,CloFast,warmup,1,20260118_211632,BIKE_0.002_group,logs/CloFast_BIKE_0.002_runwarmup1_20260118_211632.log
BIKE,0.2%,CloFast,measured,3,20260118_211632,BIKE_0.002_group,logs/CloFast_BIKE_0.002_run3_20260118_211632.log
BIKE,0.2%,CloFast,measured,2,20260118_211632,BIKE_0.002_group,logs/CloFast_BIKE_0.002_run2_20260118_211632.log
BIKE,0.2%,CloFast,measured,1,20260118_211632,BIKE_0.002_group,logs/CloFast_BIKE_0.002_run1_20260118_211632.log
BIKE,0.1%,CloFast,warmup,1,20260118_211632,BIKE_0.001_group,logs/CloFast_BIKE_0.001_runwarmup1_20260118_211632.log
BIKE,0.1%,CloFast,measured,3,20260118_211632,BIKE_0.001_group,logs/CloFast_BIKE_0.001_run3_20260118_211632.log
BIKE,0.1%,CloFast,measured,2,20260118_211632,BIKE_0.001_group,logs/CloFast_BIKE_0.001_run2_20260118_211632.log
BIKE,0.1%,CloFast,measured,1,20260118_211632,BIKE_0.001_group,logs/CloFast_BIKE_0.001_run1_20260118_211632.log
BIKE,0.05%,CloFast,warmup,1,20260118_211632,BIKE_0.0005_group,logs/CloFast_BIKE_0.0005_runwarmup1_20260118_211632.log
BIKE,0.05%,CloFast,measured,3,20260118_211632,BIKE_0.0005_group,logs/CloFast_BIKE_0.0005_run3_20260118_211632.log
BIKE,0.05%,CloFast,measured,2,20260118_211632,BIKE_0.0005_group,logs/CloFast_BIKE_0.0005_run2_20260118_211632.log
BIKE,0.05%,CloFast,measured,1,20260118_211632,BIKE_0.0005_group,logs/CloFast_BIKE_0.0005_run1_20260118_211632.log
BIKE,0.01%,CloFast,warmup,1,20260118_211632,BIKE_0.0001_group,logs/CloFast_BIKE_0.0001_runwarmup1_20260118_211632.log
BIKE,0.01%,CloFast,measured,1,20260118_211632,BIKE_0.0001_group,logs/CloFast_BIKE_0.0001_run1_20260118_211632.log
D5N2.5,8%,TriBack-Clo-Java,warmup,1,20260118_150328,D5N2.5_0.08_group,logs_itemsets/TriBack-Clo-Java_D5N2.5_0.08_runwarmup1_20260118_150328.log
D5N2.5,8%,TriBack-Clo-Java,measured,3,20260118_150328,D5N2.5_0.08_group,logs_itemsets/TriBack-Clo-Java_D5N2.5_0.08_run3_20260118_150328.log
D5N2.5,8%,TriBack-Clo-Java,measured,2,20260118_150328,D5N2.5_0.08_group,logs_itemsets/TriBack-Clo-Java_D5N2.5_0.08_run2_20260118_150328.log
D5N2.5,8%,TriBack-Clo-Java,measured,1,20260118_150328,D5N2.5_0.08_group,logs_itemsets/TriBack-Clo-Java_D5N2.5_0.08_run1_20260118_150328.log
D5N2.5,8%,CloSpan,warmup,1,20260118_150328,D5N2.5_0.08_group,logs_itemsets/CloSpan_D5N2.5_0.08_runwarmup1_20260118_150328.log
D5N2.5,8%,CloSpan,measured,3,20260118_150328,D5N2.5_0.08_group,logs_itemsets/CloSpan_D5N2.5_0.08_run3_20260118_150328.log
D5N2.5,8%,CloSpan,measured,2,20260118_150328,D5N2.5_0.08_group,logs_itemsets/CloSpan_D5N2.5_0.08_run2_20260118_150328.log
D5N2.5,8%,CloSpan,measured,1,20260118_150328,D5N2.5_0.08_group,logs_itemsets/CloSpan_D5N2.5_0.08_run1_20260118_150328.log
D5N2.5,8%,CloFast,warmup,1,20260118_150328,D5N2.5_0.08_group,logs_itemsets/CloFast_D5N2.5_0.08_runwarmup1_20260118_150328.log
D5N2.5,8%,CloFast,measured,3,20260118_150328,D5N2.5_0.08_group,logs_itemsets/CloFast_D5N2.5_0.08_run3_20260118_150328.log
D5N2.5,8%,CloFast,measured,2,20260118_150328,D5N2.5_0.08_group,logs_itemsets/CloFast_D5N2.5_0.08_run2_20260118_150328.log
D5N2.5,8%,CloFast,measured,1,20260118_150328,D5N2.5_0.08_group,logs_itemsets/CloFast_D5N2.5_0.08_run1_20260118_150328.log
D5N2.5,8%,ClaSP,warmup,1,20260118_150328,D5N2.5_0.08_group,logs_itemsets/ClaSP_D5N2.5_0.08_runwarmup1_20260118_150328.log
D5N2.5,8%,ClaSP,measured,3,20260118_150328,D5N2.5_0.08_group,logs_itemsets/ClaSP_D5N2.5_0.08_run3_20260118_150328.log
D5N2.5,8%,ClaSP,measured,2,20260118_150328,D5N2.5_0.08_group,logs_itemsets/ClaSP_D5N2.5_0.08_run2_20260118_150328.log
D5N2.5,8%,ClaSP,measured,1,20260118_150328,D5N2.5_0.08_group,logs_itemsets/ClaSP_D5N2.5_0.08_run1_20260118_150328.log
D5N2.5,8%,BIDE+,warmup,1,20260118_150328,D5N2.5_0.08_group,logs_itemsets/BIDE+_D5N2.5_0.08_runwarmup1_20260118_150328.log
D5N2.5,8%,BIDE+,measured,3,20260118_150328,D5N2.5_0.08_group,logs_itemsets/BIDE+_D5N2.5_0.08_run3_20260118_150328.log
D5N2.5,8%,BIDE+,measured,2,20260118_150328,D5N2.5_0.08_group,logs_itemsets/BIDE+_D5N2.5_0.08_run2_20260118_150328.log
D5N2.5,8%,BIDE+,measured,1,20260118_150328,D5N2.5_0.08_group,logs_itemsets/BIDE+_D5N2.5_0.08_run1_20260118_150328.log
D5N2.5,7%,TriBack-Clo-Java,warmup,1,20260118_150328,D5N2.5_0.07_group,logs_itemsets/TriBack-Clo-Java_D5N2.5_0.07_runwarmup1_20260118_150328.log
D5N2.5,7%,TriBack-Clo-Java,measured,3,20260118_150328,D5N2.5_0.07_group,logs_itemsets/TriBack-Clo-Java_D5N2.5_0.07_run3_20260118_150328.log
D5N2.5,7%,TriBack-Clo-Java,measured,2,20260118_150328,D5N2.5_0.07_group,logs_itemsets/TriBack-Clo-Java_D5N2.5_0.07_run2_20260118_150328.log
D5N2.5,7%,TriBack-Clo-Java,measured,1,20260118_150328,D5N2.5_0.07_group,logs_itemsets/TriBack-Clo-Java_D5N2.5_0.07_run1_20260118_150328.log
D5N2.5,7%,CloSpan,warmup,1,20260118_150328,D5N2.5_0.07_group,logs_itemsets/CloSpan_D5N2.5_0.07_runwarmup1_20260118_150328.log
D5N2.5,7%,CloSpan,measured,3,20260118_150328,D5N2.5_0.07_group,logs_itemsets/CloSpan_D5N2.5_0.07_run3_20260118_150328.log
D5N2.5,7%,CloSpan,measured,2,20260118_150328,D5N2.5_0.07_group,logs_itemsets/CloSpan_D5N2.5_0.07_run2_20260118_150328.log
D5N2.5,7%,CloSpan,measured,1,20260118_150328,D5N2.5_0.07_group,logs_itemsets/CloSpan_D5N2.5_0.07_run1_20260118_150328.log
D5N2.5,7%,CloFast,warmup,1,20260118_150328,D5N2.5_0.07_group,logs_itemsets/CloFast_D5N2.5_0.07_runwarmup1_20260118_150328.log
D5N2.5,7%,CloFast,measured,3,20260118_150328,D5N2.5_0.07_group,logs_itemsets/CloFast_D5N2.5_0.07_run3_20260118_150328.log
D5N2.5,7%,CloFast,measured,2,20260118_150328,D5N2.5_0.07_group,logs_itemsets/CloFast_D5N2.5_0.07_run2_20260118_150328.log
D5N2.5,7%,CloFast,measured,1,20260118_150328,D5N2.5_0.07_group,logs_itemsets/CloFast_D5N2.5_0.07_run1_20260118_150328.log
D5N2.5,7%,ClaSP,warmup,1,20260118_150328,D5N2.5_0.07_group,logs_itemsets/ClaSP_D5N2.5_0.07_runwarmup1_20260118_150328.log
D5N2.5,7%,ClaSP,measured,3,20260118_150328,D5N2.5_0.07_group,logs_itemsets/ClaSP_D5N2.5_0.07_run3_20260118_150328.log
D5N2.5,7%,ClaSP,measured,2,20260118_150328,D5N2.5_0.07_group,logs_itemsets/ClaSP_D5N2.5_0.07_run2_20260118_150328.log
D5N2.5,7%,ClaSP,measured,1,20260118_150328,D5N2.5_0.07_group,logs_itemsets/ClaSP_D5N2.5_0.07_run1_20260118_150328.log
D5N2.5,7%,BIDE+,warmup,1,20260118_150328,D5N2.5_0.07_group,logs_itemsets/BIDE+_D5N2.5_0.07_runwarmup1_20260118_150328.log
D5N2.5,7%,BIDE+,measured,3,20260118_150328,D5N2.5_0.07_group,logs_itemsets/BIDE+_D5N2.5_0.07_run3_20260118_150328.log
D5N2.5,7%,BIDE+,measured,2,20260118_150328,D5N2.5_0.07_group,logs_itemsets/BIDE+_D5N2.5_0.07_run2_20260118_150328.log
D5N2.5,7%,BIDE+,measured,1,20260118_150328,D5N2.5_0.07_group,logs_itemsets/BIDE+_D5N2.5_0.07_run1_20260118_150328.log
D5N2.5,6%,TriBack-Clo-Java,warmup,1,20260118_150328,D5N2.5_0.06_group,logs_itemsets/TriBack-Clo-Java_D5N2.5_0.06_runwarmup1_20260118_150328.log
D5N2.5,6%,TriBack-Clo-Java,measured,3,20260118_150328,D5N2.5_0.06_group,logs_itemsets/TriBack-Clo-Java_D5N2.5_0.06_run3_20260118_150328.log
D5N2.5,6%,TriBack-Clo-Java,measured,2,20260118_150328,D5N2.5_0.06_group,logs_itemsets/TriBack-Clo-Java_D5N2.5_0.06_run2_20260118_150328.log
D5N2.5,6%,TriBack-Clo-Java,measured,1,20260118_150328,D5N2.5_0.06_group,logs_itemsets/TriBack-Clo-Java_D5N2.5_0.06_run1_20260118_150328.log
D5N2.5,6%,CloSpan,warmup,1,20260118_150328,D5N2.5_0.06_group,logs_itemsets/CloSpan_D5N2.5_0.06_runwarmup1_20260118_150328.log
D5N2.5,6%,CloSpan,measured,3,20260118_150328,D5N2.5_0.06_group,logs_itemsets/CloSpan_D5N2.5_0.06_run3_20260118_150328.log
D5N2.5,6%,CloSpan,measured,2,20260118_150328,D5N2.5_0.06_group,logs_itemsets/CloSpan_D5N2.5_0.06_run2_20260118_150328.log
D5N2.5,6%,CloSpan,measured,1,20260118_150328,D5N2.5_0.06_group,logs_itemsets/CloSpan_D5N2.5_0.06_run1_20260118_150328.log
D5N2.5,6%,CloFast,warmup,1,20260118_150328,D5N2.5_0.06_group,logs_itemsets/CloFast_D5N2.5_0.06_runwarmup1_20260118_150328.log
D5N2.5,6%,CloFast,measured,3,20260118_150328,D5N2.5_0.06_group,logs_itemsets/CloFast_D5N2.5_0.06_run3_20260118_150328.log
D5N2.5,6%,CloFast,measured,2,20260118_150328,D5N2.5_0.06_group,logs_itemsets/CloFast_D5N2.5_0.06_run2_20260118_150328.log
D5N2.5,6%,CloFast,measured,1,20260118_150328,D5N2.5_0.06_group,logs_itemsets/CloFast_D5N2.5_0.06_run1_20260118_150328.log
D5N2.5,6%,ClaSP,warmup,1,20260118_150328,D5N2.5_0.06_group,logs_itemsets/ClaSP_D5N2.5_0.06_runwarmup1_20260118_150328.log
D5N2.5,6%,ClaSP,measured,3,20260118_150328,D5N2.5_0.06_group,logs_itemsets/ClaSP_D5N2.5_0.06_run3_20260118_150328.log
